"Resume Your Order","Resume Your Order"
"WHERE’D YOU GO?!","WHERE’D YOU GO?!?!"
"We’re feeling pretty lonely in your shopping cart. Let us know if you are experiencing some kind of issues during checkout, we will assist you.","We’re feeling pretty lonely in your shopping cart. Let us know if you are experiencing some kind of issues during checkout, we will assist you."
"We noticed that you left your cart with the following item in it:","We noticed that you left your cart with the following item in it:"
"We highly appreciate each and every visitor to our store.","We highly appreciate each and every visitor to our store."
"If you have questions about our products, you can email us at <a href=""mailto:%store_email"">%store_email</a>","If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>"
"We Missed You","We Missed You"
"Thank you for your order, however, we do not see a payment has been made. Let us know if you are experiencing some kind of issues with the payment, we will assist you.","Thank you for your order, however, we do not see a payment has been made. Let us know if you are experiencing some kind of issues with the payment, we will assist you."
"Order Update","Order Update"
"Information how to pay and finish the order is down bellow:","Information how to pay and finish the order is down bellow:"
"Thank you for your order #%increment_id, placed on %created_at, however, we do not see a payment has been made. Let us know if you are experiencing some kind of issues with the payment, we will assist you.","Thank you for your order #%increment_id, placed on %created_at, however, we do not see a payment has been made. Let us know if you are experiencing some kind of issues with the payment, we will assist you."
"You can check your order on store by clicking the button bellow:","You can check your order on store by clicking the button bellow:"
"Discount!","Discount!"
"So you got cold feet? So what. Here is the deal. You almost ordered these items","So you got cold feet? So what. Here is the deal. You almost ordered these items"
"This deal is available to you for next 24 hours. Use this button to head back to your cart to resume your order","This deal is available to you for next 24 hours. Use this button to head back to your cart to resume your order"
"Oh no! Your discount is almost expired. It is the last chance to make a deal and get discount for this order","Oh no! Your discount is almost expired. It is the last chance to make a deal and get discount for this order"
"Use this button to head back to your cart to resume your order","Use this button to head back to your cart to resume your order"
